Id,ProductId,HelpfulnessNumerator,HelpfulnessDenominator,UserId,Score
100170,B00122E6S2,0,0,A2HIXXWJBV2WEC,5
97288,B004FVU4PQ,0,0,A3G5DSR3NVJJFY,4
140620,B0052OMPPM,0,0,A2D6MJ4CGUOSA7,5
181490,B007OSBEV0,1,2,A3IOAMUJLADATO,5
254636,B007PA32L2,0,0,A26V0FYSES95IQ,5
13608,B001E5E33A,0,0,A2YKRWJA4Q2UC0,5
153665,B00914W9QO,2,2,A2JBTG9S2F3KV5,5
51907,B005BZ3TSO,0,0,AG0QPDBPAM66D,3
452192,B004PZUV5U,0,0,A36VRZG3HJQJMA,1
388669,B007TGO1TY,0,0,A1RRMZKOMZ2M7J,2
451115,B0017JARA6,0,0,A160XC6VXH3EDZ,5
432189,B0017QNA3K,0,0,AQUWZQCBF1KGO,5
162314,B0059WPZX6,0,0,AWMF447YKXBGX,5
223298,B004BY7HFC,0,0,A1W12R5OZZ0FC2,5
127952,B001PM0KRU,0,0,AIFOZKVPF9155,5
120392,B005K4Q37A,0,0,A346BHQCKY876O,5
282763,B001EQ4IKW,0,0,A1P9XIN4UYQ09L,5
170023,B005CUM8FI,0,0,A2LO9MQOYSLK50,5
126214,B007PM9RUK,0,0,A3DRKIHB704DFY,5
264393,B0019412BM,0,0,A2VTNMSQLKUPFA,1
170022,B005CUM8FI,0,0,A3H83NUY2ACWMU,5
403500,B0054S0YTK,0,2,AWVMXDAMWJUU,2
254806,B007PA32L2,3,3,A4RXA6KDHIHYC,1
199458,B000EDMDZS,0,0,AI3M89ZS2ADL7,2
435936,B004CT9F9M,0,0,A3645OIYO0M8FU,5
82570,B008FXKOI2,0,0,A1YYEPIXME4MEE,5
89990,B002LANN56,0,0,ANOBZWKE25SBY,4
498819,B004305GHA,0,0,A3NKTRAOWNCVMK,1
8329,B003VXFK44,0,0,AEI6MBDTGGIQU,3
541300,B002ZOCF0M,0,0,A192HXFP7H63Y8,5
84252,B000FYVKRS,0,0,AKM7QTROBHMN,5
465902,B001PNW85G,0,0,A37OQAZQ01LWH7,3
339408,B005A1LJ04,0,0,A720S06Y6KV49,4
566829,B001PQTYN2,0,0,A17IRFWJGUMH90,2
446482,B0027J4BAW,0,0,A37FQLL4V9NJLG,5
395718,B004V3INKQ,0,0,A17THRYTK621ES,5
370523,B000GPTC8U,0,0,A171F4A6WZPZEI,5
26693,B000YSS7EO,0,0,A1U262TDD70CI0,5
366397,B000ILEIUE,0,0,A2UQBOA2S92204,1
134555,B003E728CE,0,0,A283WNKO861U7A,5
274584,B004PR2OYE,1,1,A2YKRWJA4Q2UC0,5
87477,B001BZQRJ6,0,0,A36KSZLELPBNGP,5
324709,B007US7Y9U,0,0,A31XNVY7PDA8GI,2
333694,B00472GKC4,0,0,A90G56746SR5I,2
228869,B00612XUNA,0,0,A1JDCR5WU7RXNQ,5
397032,B004NSH6N4,0,0,AFIBWJAVT28H6,4
503802,B003L1ZG5E,0,0,A21EF2HQJ5UWXC,5
372763,B000U8Z4RQ,0,0,A13E8F6XEOFFON,3
181465,B007OSBEV0,2,3,A2RI775UBUL5XB,5
395956,B001GE8N4Y,0,0,AG3FE9VP10WJJ,5
7289,B004I5KO9K,0,0,A2GL102GVICHIU,5
114356,B001RUS2UW,0,0,A2J1605LSBU13R,5
151905,B003LJB80S,0,0,A2EVQG699ZY7BE,2
479818,B005FFHLUM,0,0,A33OV4DTQBJ7N9,1
166867,B000EUJK2K,0,0,A1EHZ8WHJ90AW6,5
8328,B003VXFK44,0,0,A2A1327CU1ZYLH,1
8327,B003VXFK44,0,0,A3O1Y1F3IJ1P5D,5
28548,B0089SPEO2,0,0,AVZS7TIKY2SYY,5
390406,B000K5UY1K,0,0,A31C48EWFZUCYF,5
37716,B004PXEZAE,0,0,A337SJM9B0A6HA,1
299262,B0018CE6ZE,0,0,A253VUYT5I3KLH,4
316310,B000NBYPFM,0,0,A31P4FBNLVEX5B,3
162947,B005P6TCGW,0,0,AA19YQC5VQUAS,3
312699,B004OQADMQ,1,1,A1HYAA326Q4XU4,4
285485,B0027YVUOM,0,0,ACVI7RYUG2S77,5
53955,B0000YUTOS,0,0,A2G7ACWKSNP9YK,5
418800,B002ZOG2K6,0,0,ASQVRDSWKAY9V,5
79297,B003TNANSO,0,0,AKCN7CGKFDTVC,5
181455,B007OSBEV0,1,1,A3O1CV0ZKXZD9N,2
36497,B004CLCEDE,0,0,AV41JE4Z1KOGO,3
114997,B000F2O70W,0,0,A26GD7O74RXO5U,5
306290,B000FAPLS6,0,0,A1Z10MCKSHD695,5
197410,B007C650C8,0,0,A243HAZQ3JHPOF,4
273361,B00845RQSW,0,0,A3U0JUY617H25H,5
149677,B004T02T6A,0,0,A3NF240AJPA0W2,2
273357,B00355ANDG,0,0,A15PQGWWN1UU9Q,5
469913,B000I4VD5Y,0,0,A2O1WKTD2KCX7X,5
374909,B001VNGNSS,0,0,A198FU6P1BVUNZ,5
170601,B0009F3SDC,0,0,AIOJDBRGC3DK9,5
279682,B002M5E5ZC,0,0,A3RGEUHEQ2VNRN,5
322400,B006RDX6IW,0,0,A39PSLI5UN01ZC,5
384795,B001ELL9GI,0,0,A29719CUXD98CO,5
238185,B001UUKMA2,0,0,A2582KMXLK2P06,5
520268,B001SB1B8U,0,0,ATO1TLS6PPY96,1
111866,B000XK8IYW,0,0,A30PTQDSNQKONM,5
54626,B001TLY7A8,0,0,A1GA4V6X4K4X2P,5
199457,B000EDMDZS,0,0,A1F4M5HFKYUGLF,5
63126,B0016BAA4S,1,1,A2A710DVA0Y2YS,5
365660,B002HQNING,0,0,A11T94T0X078LH,5
461938,B000N4M6XC,0,0,A2BJD04R12L6G0,5
521427,B007JFXWRC,1,1,AWIF8AR75LL9L,4
306664,B001K4B9EQ,0,0,A36Z9ELNL50UQ6,5
516943,B0013ARBZI,0,0,A3CW5HB4U8FYN1,2
392534,B001SB3XR2,1,2,A16JNISA24CGMO,5
449133,B001GQ3E5A,0,0,A9WLOKBX3JENJ,5
261325,B003P02I70,0,0,A30GI17A7RLLKH,5
524353,B001W91PBG,0,0,A2IJSW8ZB6DKF3,5
20657,B00066CRRM,0,0,APX2H44I2WM2P,5
233005,B006H34C6C,0,0,AB7DRFHVTWWP0,5
550645,B0036QD9VC,0,0,A1DS089UD8EX14,5
546428,B005G7YDUU,0,0,A2W4T9WZXMRRVV,1
354338,B0098QPNJA,0,0,A3D986IBRV8RPR,5
349718,B0064KODO4,0,0,AW0B33EZVO9FX,5
243798,B001LQNVOE,0,0,A2ZG3CIBKDJGTN,1
55699,B0032CZOZO,0,0,A12VZRUKEG89O3,5
348813,B001VIIXXQ,0,0,A1DYUO47M0GG66,5
216284,B001EO5TWU,0,0,A2KP483IXWMCRA,5
246353,B000YPKSN0,0,0,AOCVGNZB65312,5
289478,B007OXJL8I,0,0,A16GO22LDGNOOO,5
117921,B000X1Q1G8,0,0,A3PWH0K8D6F13S,1
108710,B005CT9S7U,0,0,A1T1R8X9ZR3G3C,5
546408,B0050IMGR2,0,0,A1EV087FXPXQ1G,2
172488,B00474J3S0,0,1,A2582KMXLK2P06,3
363867,B001M08YZA,0,1,A3BRVNM1SWQRXW,1
90428,B00937BGUY,0,0,A2DM3395C6ZUTL,4
552616,B004J1KT6G,0,0,A3NKS5RLHGXWJV,2
24584,B006JV1KC6,0,0,A2JKC4CWXLBABR,5
426402,B003VXJJTQ,0,0,AFDPUTKKFUIQ6,5
159174,B00472QKGU,0,0,A2EX0CLFUCTSYK,5
243608,B0059X9A6I,0,0,A1PJX7Y2V3SICE,5
94390,B0025UAD0A,0,0,A1JGI7OQSY4325,3
73162,B0012BXUUS,0,0,A13HSEMFG0IXL5,5
59130,B002HQLY7S,0,0,A10ZHFXEFRZLBL,5
237901,B00472A4BM,0,0,A2P3BQNIAGDS8V,5
62456,B00362D6EQ,1,1,A3U67KB8CDUZ4E,1
93436,B000UY0JHU,0,0,A2Q7EFIX9GUHLB,5
104525,B003UTMYWK,0,0,AXUCA4VDGXCPM,5
156314,B00473XC9C,0,0,AHO4DUTLJADJC,1
188554,B00474VPLI,0,0,A1GJEJYEQ3IHVD,5
198204,B0007OVVZ2,0,0,A17JS41ZDECKBB,5
486348,B006H2JVE6,0,0,A2I5GAEPQETJXI,3
289614,B0066FET1Y,0,0,A910R7MHON9ZG,3
192138,B003H7AWGA,0,0,A7B6YF33OQET2,5
59131,B002HQLY7S,0,0,A3EOEW9AZJDSWT,5
564185,B003YU5SGO,0,0,AGNVJK6TSPRLG,5
225692,B002ZX1U9A,0,0,A1QDGE4EQCNXNE,5
198350,B0032GC6ME,0,0,AGCESI86D0TCL,5
211134,B0029JDVFQ,0,0,A3K3L9NZUK3XC9,3
122339,B000NGU7J0,0,0,A2KKH9F104A0I4,2
427042,B0053B6V1S,0,0,A1VQ2CN0B86SVI,5
64485,B001BM4NWM,0,0,A3D45MYZS07490,5
289595,B003XRKVD8,0,0,A1Y5KMEHSCYRX2,4
409240,B001SB1SEM,1,1,AP4D2PKUAY9A5,5
422844,B007B2SYF8,0,0,A1ZIXALTABCTCG,5
427041,B0053B6V1S,0,0,ALX9Z20805MAL,5
99905,B004X6H2P8,0,0,A5X1HYT9V8270,5
157508,B002Z6V6IW,0,0,A1TUO2KSIKYQU7,5
17647,B003QWN6B4,0,0,A291IVXUQBNTDM,5
59968,B007JXVT3S,0,0,A3RTF2DV1NQILR,5
187726,B004UBZBMW,0,0,A2HPKMXJARS2UN,4
396392,B000V7N4JQ,0,0,A3V2D6MLTVNZXQ,5
191186,B000HZU12K,0,0,A181VA99IS9E44,5
460506,B0001CVDZI,0,0,A23OAU4BF5G69D,5
186617,B0061LRTAQ,0,0,A1ODKP5Y7DPMM1,5
189573,B001EO5Q64,0,0,A1VABWDOUQLULZ,5
506279,B001LQPW9G,0,0,A2E2LJSS3R30ZY,5
375669,B005TH72DM,0,0,ATJLS4RDZ64AM,5
95192,B003UEKFS0,0,0,A3VDDZ7LG8PKNN,5
330322,B003D54TEW,0,0,APV48FQWS1X7Z,5
38618,B000OYMGMC,0,0,A3EQWIEJE4V5G7,2
4151,B004391DK0,0,0,A27H2Z677SECMJ,5
169688,B0083QBVGU,1,1,A3DEBQR3DL2I4S,5
302978,B001EO630C,0,0,A3OGAS8QKVWVT8,2
473759,B008IG4B76,0,0,A2XYG09XOP5Q7,5
467547,B00141SAW4,0,0,A1ZDWK99E4RYXP,5
29216,B000PDY3P0,0,0,A178YOIHLENHM5,5
448351,B000OKZBFU,1,1,A21SGR4H9XG1QB,5
428139,B008MJIEF4,0,0,A1LMIE1E0NVS00,5
67196,B004JRXZKM,0,0,AZ8NRLP98TJJZ,1
20740,B00542YY8I,0,0,A783B107REZ19,5
367874,B003B3OOPA,0,0,A121AE6GWZKMSD,5
468751,B003YZ4MAC,0,1,A21Z7Q07Y7JJBD,1
367873,B003B3OOPA,0,0,A36G9G996F3Q6W,5
245595,B004OAZ36I,0,0,A1S70ECC3YGFJX,1
245596,B004OAZ36I,0,0,A1VFNKCCS592UP,2
409710,B002YR7BEK,0,0,A1PILZ39KYUPJ4,5
201468,B005T5YO2G,0,0,A3APVUGVRJ7UOT,5
16450,B007TJGZ54,0,0,AN71KYKFED796,5
257233,B002TSA91Q,0,0,A3OU1RF3IN3H3G,5
144878,B002OFUBJO,0,0,A1RH54KDESZ72N,4
96711,B000GFYRN0,0,0,A2RA67PO47OEY4,4
241610,B0081XPTBS,0,0,A3I9HUIBW5I29B,5
209335,B000SJHUFG,0,0,A38HMHGUWGLMNM,5
494651,B007OTDHDM,0,0,A1FNE11UM4ZNA,5
454220,B00015YTS8,1,2,A1NEDM7AZF0AHO,2
76006,B000FKQDAQ,0,0,A3MX5JMWMEBFGV,3
201699,B007R900WA,0,0,AI3NG5O2VNE7K,5
201698,B007R900WA,0,0,A346YONZ73RD32,5
372455,B0083T6HC0,0,0,AOVV2XPAQXCCR,5
129669,B000EQYSLC,0,0,ASYVOZ7GO4RIS,4
28094,B007POT6RM,0,0,ANOBZWKE25SBY,3
554704,B001LM2J0A,0,0,A3POCQNM5Q7R2Z,4
372456,B0083T6HC0,0,0,A2XV7CDPV08ZUQ,5
460910,B004E5JNXM,0,0,AN5RYU3WBCMN3,5
308373,B0000DIVU7,0,0,A2XC0CA462U1AT,5
